Year,Team,Record,Win%
2001-02,Raptors,42-40,0.512
2000-01,Raptors,47-35,0.573
1999-00,Raptors,45-37,0.549
1998-99 *,Raptors,23-27,0.46
1997-98,Raptors,16-66,0.195
1996-97,Raptors,30-52,0.366
1995-96,Raptors,21-61,0.256
2017-18,Jazz,48-34,0.585
2016-17,Jazz,51-31,0.622
2015-16,Jazz,40-42,0.488
2014-15,Jazz,38-44,0.463
2013-14,Jazz,25-57,0.305
2012-13,Jazz,43-39,0.524
2011-12 *,Jazz,36-30,0.545
2010-11,Jazz,39-43,0.476
2009-10,Jazz,53-29,0.646
2008-09,Jazz,48-34,0.585
2007-08,Jazz,54-28,0.659
2006-07,Jazz,51-31,0.622
2005-06,Jazz,41-41,0.5
2004-05,Jazz,26-56,0.317
2003-04,Jazz,42-40,0.512
2002-03,Jazz,47-35,0.573
2001-02,Jazz,44-38,0.537
2000-01,Jazz,53-29,0.646
1999-00,Jazz,55-27,0.671
1998-99 *,Jazz,37-13,0.74
1997-98,Jazz,62-20,0.756
1996-97,Jazz,64-18,0.78
1995-96,Jazz,55-27,0.671
1994-95,Jazz,60-22,0.732
1993-94,Jazz,53-29,0.646
1992-93,Jazz,47-35,0.573
1991-92,Jazz,55-27,0.671
1990-91,Jazz,54-28,0.659
1989-90,Jazz,55-27,0.671
1988-89,Jazz,51-31,0.622
1987-88,Jazz,47-35,0.573
1986-87,Jazz,44-38,0.537
1985-86,Jazz,42-40,0.512
1984-85,Jazz,41-41,0.5
1983-84,Jazz,45-37,0.549
1982-83,Jazz,30-52,0.366
1981-82,Jazz,25-57,0.305
1980-81,Jazz,28-54,0.341
2017-18,Wizards,43-39,0.524
2016-17,Wizards,49-33,0.598
2015-16,Wizards,41-41,0.5
2014-15,Wizards,46-36,0.561
2013-14,Wizards,44-38,0.537
2012-13,Wizards,29-53,0.354
2011-12 *,Wizards,20-46,0.303
2010-11,Wizards,23-59,0.28
2009-10,Wizards,26-56,0.317
2008-09,Wizards,19-63,0.232
2007-08,Wizards,43-39,0.524
2006-07,Wizards,41-41,0.5
2005-06,Wizards,42-40,0.512
2004-05,Wizards,45-37,0.549
2003-04,Wizards,25-57,0.305
2002-03,Wizards,37-45,0.451
2001-02,Wizards,37-45,0.451
2000-01,Wizards,19-63,0.232
1999-00,Wizards,29-53,0.354
1998-99 *,Wizards,18-32,0.36
1997-98,Wizards,42-40,0.512
1996-97,Bullets,44-38,0.537
1995-96,Bullets,39-43,0.476
1994-95,Bullets,21-61,0.256
1993-94,Bullets,24-58,0.293
1992-93,Bullets,22-60,0.268
1991-92,Bullets,25-57,0.305
1990-91,Bullets,30-52,0.366
1989-90,Bullets,31-51,0.378
1988-89,Bullets,40-42,0.488
1987-88,Bullets,38-44,0.463
1986-87,Bullets,42-40,0.512
1985-86,Bullets,39-43,0.476
1984-85,Bullets,40-42,0.488
1983-84,Bullets,35-47,0.427
1982-83,Bullets,42-40,0.512
1981-82,Bullets,43-39,0.524
1980-81,Bullets,39-43,0.476
